name, data
 Tue Feb 13 06:55:22 +0000 2018, -4
Tue Feb 13 06:55:22 +0000 2018, -1
Tue Feb 13 06:55:22 +0000 2018, -1
Tue Feb 13 06:55:22 +0000 2018, -6
Tue Feb 13 06:55:21 +0000 2018, -1
Tue Feb 13 06:55:21 +0000 2018, 0
Tue Feb 13 06:55:21 +0000 2018, 1
Tue Feb 13 06:55:21 +0000 2018, -1
Tue Feb 13 06:55:21 +0000 2018, 0
Tue Feb 13 06:55:19 +0000 2018, 0
Tue Feb 13 06:55:19 +0000 2018, -5
Tue Feb 13 06:55:19 +0000 2018, 0
Tue Feb 13 06:55:18 +0000 2018, -10
Tue Feb 13 06:55:18 +0000 2018, 0
Tue Feb 13 06:55:18 +0000 2018, 0
Tue Feb 13 06:55:18 +0000 2018, -7
Tue Feb 13 06:55:18 +0000 2018, 0
Tue Feb 13 06:55:18 +0000 2018, -2
Tue Feb 13 06:55:18 +0000 2018, -1
Tue Feb 13 06:55:18 +0000 2018, 0
Tue Feb 13 06:55:18 +0000 2018, 1
Tue Feb 13 06:55:18 +0000 2018, 2
Tue Feb 13 06:55:18 +0000 2018, -6
Tue Feb 13 06:55:18 +0000 2018, -1
Tue Feb 13 06:55:17 +0000 2018, 0
Tue Feb 13 06:55:17 +0000 2018, 0
Tue Feb 13 06:55:17 +0000 2018, -1
Tue Feb 13 06:55:17 +0000 2018, 0
Tue Feb 13 06:55:16 +0000 2018, 0
Tue Feb 13 06:55:16 +0000 2018, 0
Tue Feb 13 06:55:16 +0000 2018, -1
Tue Feb 13 06:55:16 +0000 2018, 3
Tue Feb 13 06:55:16 +0000 2018, -3
Tue Feb 13 06:55:16 +0000 2018, 0
Tue Feb 13 06:55:16 +0000 2018, -4
Tue Feb 13 06:55:16 +0000 2018, 1
Tue Feb 13 06:55:16 +0000 2018, -4
Tue Feb 13 06:55:16 +0000 2018, 0
Tue Feb 13 06:55:16 +0000 2018, -3
Tue Feb 13 06:55:15 +0000 2018, 0
Tue Feb 13 06:55:15 +0000 2018, 6
Tue Feb 13 06:55:15 +0000 2018, 0
Tue Feb 13 06:55:15 +0000 2018, 4
Tue Feb 13 06:55:15 +0000 2018, -2
Tue Feb 13 06:55:15 +0000 2018, 0
Tue Feb 13 06:55:15 +0000 2018, -2
Tue Feb 13 06:55:14 +0000 2018, 0
Tue Feb 13 06:55:14 +0000 2018, -3
Tue Feb 13 06:55:14 +0000 2018, -1
Tue Feb 13 06:55:13 +0000 2018, -9
Tue Feb 13 06:55:13 +0000 2018, -1
Tue Feb 13 06:55:13 +0000 2018, -1
Tue Feb 13 06:55:13 +0000 2018, -2
Tue Feb 13 06:55:13 +0000 2018, 2
Tue Feb 13 06:55:13 +0000 2018, 3
Tue Feb 13 06:55:12 +0000 2018, 0
Tue Feb 13 06:55:12 +0000 2018, 0
Tue Feb 13 06:55:12 +0000 2018, -1
Tue Feb 13 06:55:12 +0000 2018, -1
Tue Feb 13 06:55:12 +0000 2018, 0
Tue Feb 13 06:55:12 +0000 2018, 0
Tue Feb 13 06:55:11 +0000 2018, 0
Tue Feb 13 06:55:11 +0000 2018, 0
Tue Feb 13 06:55:11 +0000 2018, 0
Tue Feb 13 06:55:10 +0000 2018, 0
Tue Feb 13 06:55:10 +0000 2018, 2
Tue Feb 13 06:55:10 +0000 2018, 3
Tue Feb 13 06:55:10 +0000 2018, -1
Tue Feb 13 06:55:10 +0000 2018, 1
Tue Feb 13 06:55:10 +0000 2018, 0
Tue Feb 13 06:55:09 +0000 2018, 0
Tue Feb 13 06:55:09 +0000 2018, -8
Tue Feb 13 06:55:09 +0000 2018, 2
Tue Feb 13 06:55:09 +0000 2018, 0
Tue Feb 13 06:55:08 +0000 2018, -2
Tue Feb 13 06:55:08 +0000 2018, -1
Tue Feb 13 06:55:08 +0000 2018, -2
Tue Feb 13 06:55:08 +0000 2018, 2
Tue Feb 13 06:55:08 +0000 2018, -1
Tue Feb 13 06:55:07 +0000 2018, 0
Tue Feb 13 06:55:07 +0000 2018, 0
Tue Feb 13 06:55:07 +0000 2018, 0
Tue Feb 13 06:55:07 +0000 2018, 0
Tue Feb 13 06:55:07 +0000 2018, 0
Tue Feb 13 06:55:06 +0000 2018, -1
Tue Feb 13 06:55:06 +0000 2018, 0
Tue Feb 13 06:55:06 +0000 2018, 0
Tue Feb 13 06:55:05 +0000 2018, 4
Tue Feb 13 06:55:05 +0000 2018, 2
Tue Feb 13 06:55:05 +0000 2018, 0
Tue Feb 13 06:55:04 +0000 2018, 1
Tue Feb 13 06:55:04 +0000 2018, -1
Tue Feb 13 06:55:04 +0000 2018, 6
Tue Feb 13 06:55:04 +0000 2018, -2
Tue Feb 13 06:55:04 +0000 2018, -1
Tue Feb 13 06:55:03 +0000 2018, -1
Tue Feb 13 06:55:03 +0000 2018, -1
Tue Feb 13 06:55:02 +0000 2018, 0
Tue Feb 13 06:55:02 +0000 2018, 0
Tue Feb 13 06:55:02 +0000 2018, -3
