name	value
1	-4
2	-1
3	-1
4	-6
5	-1
6	0
7	1
8	-1
9	0
10	0
11	-5
12	0
13	-10
14	0
15	0
16	-7
17	0
18	-2
19	-1
20	0
21	1
22	2
23	-6
24	-1
25	0
26	0
27	-1
28	0
29	0
30	0
31	-1
32	3
33	-3
34	0
35	-4
36	1
37	-4
38	0
39	-3
40	0
41	6
42	0
43	4
44	-2
45	0
46	-2
47	0
48	-3
49	-1
50	-9
51	-1
52	-1
53	-2
54	2
55	3
56	0
57	0
58	-1
59	-1
60	0
61	0
62	0
63	0
64	0
65	0
66	2
67	3
68	-1
69	1
70	0
71	0
72	-8
73	2
74	0
75	-2
76	-1
77	-2
78	2
79	-1
80	0
81	0
82	0
83	0
84	0
85	-1
86	0
87	0
88	4
89	2
90	0
91	1
92	-1
93	6
94	-2
95	-1
96	-1
97	-1
98	0
99	0
100	-3
